lipid,bead1,bead2,r0,k
dlpa,pha,mid,0.4685,1763.4748
dlpa,mid,dl1,0.4745,2922.184
dlpa,dl1,dl2,0.5645,2069.9689
dlpc,cho,pho,0.4025,1984.7592
dlpc,pho,mid,0.4715,1952.6966
dlpc,mid,dl1,0.4675,2471.3237
dlpc,dl1,dl2,0.5505,1613.7962
dlpe,eth,pho,0.3565,4645.8799
dlpe,pho,mid,0.4735,2031.9526
dlpe,mid,dl1,0.4755,2898.3888
dlpe,dl1,dl2,0.5665,2154.0865
dlpg,gly,pho,0.3815,2556.8209
dlpg,pho,mid,0.4695,1909.5121
dlpg,mid,dl1,0.4665,2343.0142
dlpg,dl1,dl2,0.5455,1441.4569
dlps,ser,pho,0.4425,8885.3633
dlps,pho,mid,0.4695,1831.8375
dlps,mid,dl1,0.4735,2797.4588
dlps,dl1,dl2,0.5635,2094.5199
dmpa,pha,mid,0.4675,1798.0765
dmpa,mid,dm1,0.5265,2211.4453
dmpa,dm1,dm2,0.6715,1503.6403
dmpc,cho,pho,0.4035,2029.6147
dmpc,pho,mid,0.4715,1909.9275
dmpc,mid,dm1,0.5235,2050.6087
dmpc,dm1,dm2,0.6635,1228.7037
dmpe,eth,pho,0.3565,4747.6185
dmpe,pho,mid,0.4745,2197.485
dmpe,mid,dm1,0.5295,2411.0787
dmpe,dm1,dm2,0.6755,1524.5372
dmpg,gly,pho,0.3815,2567.1502
dmpg,pho,mid,0.4715,1987.6395
dmpg,mid,dm1,0.5195,1925.4607
dmpg,dm1,dm2,0.6515,1029.6688
dmps,ser,pho,0.4435,9430.0853
dmps,pho,mid,0.4695,1847.0322
dmps,mid,dm1,0.5305,2297.7119
dmps,dm1,dm2,0.6775,1555.2015
dppa,pha,mid,0.4725,1810.4703
dppa,mid,dp1,0.4995,4793.1979
dppa,dp1,dp2,0.6345,51782.5469
dppa,dp2,dp3,0.5745,49240.8982
dppc,cho,pho,0.4025,2030.8916
dppc,pho,mid,0.4705,1918.7328
dppc,mid,dp1,0.4705,2746.815
dppc,dp1,dp2,0.5625,2157.3367
dppc,dp2,dp3,0.5005,2101.9025
dppe,eth,pho,0.3555,4597.7787
dppe,pho,mid,0.4795,2169.1758
dppe,mid,dp1,0.4985,4478.8599
dppe,dp1,dp2,0.6345,51396.7936
dppe,dp2,dp3,0.5745,49529.0984
dppg,gly,pho,0.3805,2575.8486
dppg,pho,mid,0.4705,2097.6156
dppg,mid,dp1,0.4675,2530.2906
dppg,dp1,dp2,0.5555,1822.9846
dppg,dp2,dp3,0.4935,1852.5981
dpps,ser,pho,0.4425,8992.8549
dpps,pho,mid,0.4745,2086.224
dpps,mid,dp1,0.4975,4450.9854
dpps,dp1,dp2,0.6335,47005.4472
dpps,dp2,dp3,0.5745,49037.897
dopa,pha,mid,0.4665,1728.5872
dopa,mid,do1,0.4645,2309.8495
dopa,do1,do2,0.5085,1788.8395
dopa,do2,do3,0.5575,1157.2747
dopc,cho,pho,0.4025,1990.9749
dopc,pho,mid,0.4705,1892.745
dopc,mid,do1,0.4615,2095.9687
dopc,do1,do2,0.5035,1644.4215
dopc,do2,do3,0.5475,989.7797
dope,eth,pho,0.3565,4675.3439
dope,pho,mid,0.4695,1890.4082
dope,mid,do1,0.4645,2285.6905
dope,do1,do2,0.5155,2036.3043
dope,do2,do3,0.5605,1211.3682
dopg,gly,pho,0.3805,2544.3856
dopg,pho,mid,0.4695,1914.2659
dopg,mid,do1,0.4575,1927.2703
dopg,do1,do2,0.4975,1516.9694
dopg,do2,do3,0.5375,859.2079
dops,ser,pho,0.4425,8829.7109
dops,pho,mid,0.4665,1770.1901
dops,mid,do1,0.4655,2335.7991
dops,do1,do2,0.5095,1809.3645
dops,do2,do3,0.5575,1165.3019
dspa,pha,mid,0.4725,1841.0139
dspa,mid,ds1,0.4995,4709.6117
dspa,ds1,ds2,0.6345,50774.0941
dspa,ds2,ds3,0.7005,39358.9782
dspc,cho,pho,0.4025,1951.8821
dspc,pho,mid,0.4765,2029.1603
dspc,mid,ds1,0.4955,4201.5328
dspc,ds1,ds2,0.6335,46812.9296
dspc,ds2,ds3,0.7005,39495.7646
dspe,eth,pho,0.3555,4583.0591
dspe,pho,mid,0.4805,2205.1861
dspe,mid,ds1,0.4995,4643.6881
dspe,ds1,ds2,0.6345,51429.2558
dspe,ds2,ds3,0.7005,40292.6788
dspg,gly,pho,0.3805,2478.1795
dspg,pho,mid,0.4735,2004.6771
dspg,mid,ds1,0.4975,4475.5104
dspg,ds1,ds2,0.6345,51166.9923
dspg,ds2,ds3,0.7005,39172.2941
dsps,ser,pho,0.4435,9235.751
dsps,pho,mid,0.4755,2041.8932
dsps,mid,ds1,0.4975,4255.9195
dsps,ds1,ds2,0.6345,51453.5621
dsps,ds2,ds3,0.7005,39994.3043
popa,pha,mid,0.4665,1711.8591
popa,mid,po1,0.4685,2437.0221
popa,po1,po2,0.5415,2056.8662
popa,po2,po3,0.5185,481.4885
popc,cho,pho,0.4025,1994.8377
popc,pho,mid,0.4705,1871.2843
popc,mid,po1,0.4645,2258.5233
popc,po1,po2,0.5355,1928.5928
popc,po2,po3,0.5015,383.4372
pope,eth,pho,0.3565,4682.7105
pope,pho,mid,0.4715,1945.7284
pope,mid,po1,0.4725,2710.9747
pope,po1,po2,0.5475,2345.5751
pope,po2,po3,0.5245,524.6947
popg,gly,pho,0.3815,2579.5595
popg,pho,mid,0.4705,1925.8955
popg,mid,po1,0.4635,2226.4036
popg,po1,po2,0.5265,1625.8103
popg,po2,po3,0.4945,346.8038
pops,ser,pho,0.4425,8900.3877
pops,pho,mid,0.4665,1772.1281
pops,mid,po1,0.4695,2546.0923
pops,po1,po2,0.5415,1994.4299
pops,po2,po3,0.5185,495.7537
sopa,pha,mid,0.4675,1703.2501
sopa,mid,so1,0.4695,2431.6779
sopa,so1,so2,0.5455,2205.1838
sopa,so2,so3,0.5885,1486.6234
sopc,cho,pho,0.4025,1982.4036
sopc,pho,mid,0.4715,1942.0011
sopc,mid,so1,0.4645,2257.9851
sopc,so1,so2,0.5365,1971.7266
sopc,so2,so3,0.5745,1223.3944
sope,eth,pho,0.3565,4651.5092
sope,pho,mid,0.4725,1947.8874
sope,mid,so1,0.4705,2591.4312
sope,so1,so2,0.5485,2413.7047
sope,so2,so3,0.5915,1597.0852
sopg,gly,pho,0.3815,2610.6696
sopg,pho,mid,0.4705,1937.8007
sopg,mid,so1,0.4635,2214.6943
sopg,so1,so2,0.5295,1697.09
sopg,so2,so3,0.5635,1000.4587
sops,ser,pho,0.4435,9094.0328
sops,pho,mid,0.4675,1810.0408
sops,mid,so1,0.4715,2665.939
sops,so1,so2,0.5445,2201.6502
sops,so2,so3,0.5845,1361.3512
